,Дата,Кол-во пассажиров,Месяц,Год
0,1949-01-01,112,1,1949
1,1949-02-01,118,2,1949
2,1949-03-01,132,3,1949
3,1949-04-01,129,4,1949
4,1949-05-01,121,5,1949
5,1949-06-01,135,6,1949
6,1949-07-01,148,7,1949
7,1949-08-01,148,8,1949
8,1949-09-01,136,9,1949
9,1949-10-01,119,10,1949
10,1949-11-01,104,11,1949
11,1949-12-01,118,12,1949
12,1950-01-01,115,1,1950
13,1950-02-01,126,2,1950
14,1950-03-01,141,3,1950
15,1950-04-01,135,4,1950
16,1950-05-01,125,5,1950
17,1950-06-01,149,6,1950
18,1950-07-01,170,7,1950
19,1950-08-01,170,8,1950
20,1950-09-01,158,9,1950
21,1950-10-01,133,10,1950
22,1950-11-01,114,11,1950
23,1950-12-01,140,12,1950
24,1951-01-01,145,1,1951
25,1951-02-01,150,2,1951
26,1951-03-01,178,3,1951
27,1951-04-01,163,4,1951
28,1951-05-01,172,5,1951
29,1951-06-01,178,6,1951
30,1951-07-01,199,7,1951
31,1951-08-01,199,8,1951
32,1951-09-01,184,9,1951
33,1951-10-01,162,10,1951
34,1951-11-01,146,11,1951
35,1951-12-01,166,12,1951
36,1952-01-01,171,1,1952
37,1952-02-01,180,2,1952
38,1952-03-01,193,3,1952
39,1952-04-01,181,4,1952
40,1952-05-01,183,5,1952
41,1952-06-01,218,6,1952
42,1952-07-01,230,7,1952
43,1952-08-01,242,8,1952
44,1952-09-01,209,9,1952
45,1952-10-01,191,10,1952
46,1952-11-01,172,11,1952
47,1952-12-01,194,12,1952
48,1953-01-01,196,1,1953
49,1953-02-01,196,2,1953
50,1953-03-01,236,3,1953
51,1953-04-01,235,4,1953
52,1953-05-01,229,5,1953
53,1953-06-01,243,6,1953
54,1953-07-01,264,7,1953
55,1953-08-01,272,8,1953
56,1953-09-01,237,9,1953
57,1953-10-01,211,10,1953
58,1953-11-01,180,11,1953
59,1953-12-01,201,12,1953
60,1954-01-01,204,1,1954
61,1954-02-01,188,2,1954
62,1954-03-01,235,3,1954
63,1954-04-01,227,4,1954
64,1954-05-01,234,5,1954
65,1954-06-01,264,6,1954
66,1954-07-01,302,7,1954
67,1954-08-01,293,8,1954
68,1954-09-01,259,9,1954
69,1954-10-01,229,10,1954
70,1954-11-01,203,11,1954
71,1954-12-01,229,12,1954
72,1955-01-01,242,1,1955
73,1955-02-01,233,2,1955
74,1955-03-01,267,3,1955
75,1955-04-01,269,4,1955
76,1955-05-01,270,5,1955
77,1955-06-01,315,6,1955
78,1955-07-01,364,7,1955
79,1955-08-01,347,8,1955
80,1955-09-01,312,9,1955
81,1955-10-01,274,10,1955
82,1955-11-01,237,11,1955
83,1955-12-01,278,12,1955
84,1956-01-01,284,1,1956
85,1956-02-01,277,2,1956
86,1956-03-01,317,3,1956
87,1956-04-01,313,4,1956
88,1956-05-01,318,5,1956
89,1956-06-01,374,6,1956
90,1956-07-01,413,7,1956
91,1956-08-01,405,8,1956
92,1956-09-01,355,9,1956
93,1956-10-01,306,10,1956
94,1956-11-01,271,11,1956
95,1956-12-01,306,12,1956
96,1957-01-01,315,1,1957
97,1957-02-01,301,2,1957
98,1957-03-01,356,3,1957
99,1957-04-01,348,4,1957
100,1957-05-01,355,5,1957
101,1957-06-01,422,6,1957
102,1957-07-01,465,7,1957
103,1957-08-01,467,8,1957
104,1957-09-01,404,9,1957
105,1957-10-01,347,10,1957
106,1957-11-01,305,11,1957
107,1957-12-01,336,12,1957
108,1958-01-01,340,1,1958
109,1958-02-01,318,2,1958
110,1958-03-01,362,3,1958
111,1958-04-01,348,4,1958
112,1958-05-01,363,5,1958
113,1958-06-01,435,6,1958
114,1958-07-01,491,7,1958
115,1958-08-01,505,8,1958
116,1958-09-01,404,9,1958
117,1958-10-01,359,10,1958
118,1958-11-01,310,11,1958
119,1958-12-01,337,12,1958
120,1959-01-01,360,1,1959
121,1959-02-01,342,2,1959
122,1959-03-01,406,3,1959
123,1959-04-01,396,4,1959
124,1959-05-01,420,5,1959
125,1959-06-01,472,6,1959
126,1959-07-01,548,7,1959
127,1959-08-01,559,8,1959
128,1959-09-01,463,9,1959
129,1959-10-01,407,10,1959
130,1959-11-01,362,11,1959
131,1959-12-01,405,12,1959
132,1960-01-01,417,1,1960
133,1960-02-01,391,2,1960
134,1960-03-01,419,3,1960
135,1960-04-01,461,4,1960
136,1960-05-01,472,5,1960
137,1960-06-01,535,6,1960
138,1960-07-01,622,7,1960
139,1960-08-01,606,8,1960
140,1960-09-01,508,9,1960
141,1960-10-01,461,10,1960
142,1960-11-01,390,11,1960
143,1960-12-01,432,12,1960
